FREQ;Frequency;TENOR;Tenor;DECIMALS;TIME_PERIOD;OBS_VALUE
B;Business;2Y;2 years;3;2019-06-06;1.165
B;Business;2Y;2 years;3;2019-06-07;1.15
B;Business;2Y;2 years;3;2019-06-11;1.174
B;Business;2Y;2 years;3;2019-06-12;1.175
B;Business;2Y;2 years;3;2019-06-13;1.164
B;Business;2Y;2 years;3;2019-06-14;1.161
B;Business;2Y;2 years;3;2019-06-17;1.156
B;Business;2Y;2 years;3;2019-06-18;1.135
B;Business;2Y;2 years;3;2019-06-19;1.158
B;Business;2Y;2 years;3;2019-06-20;1.189
B;Business;2Y;2 years;3;2019-06-21;1.216
B;Business;2Y;2 years;3;2019-06-24;1.216
B;Business;2Y;2 years;3;2019-06-25;1.225
B;Business;2Y;2 years;3;2019-06-26;1.234
B;Business;2Y;2 years;3;2019-06-27;1.232
B;Business;2Y;2 years;3;2019-06-28;1.235
B;Business;2Y;2 years;3;2019-07-01;1.235
B;Business;2Y;2 years;3;2019-07-02;1.256
B;Business;2Y;2 years;3;2019-07-03;1.256
B;Business;2Y;2 years;3;2019-07-04;1.258
B;Business;2Y;2 years;3;2019-07-05;1.273
B;Business;2Y;2 years;3;2019-07-08;1.264
B;Business;2Y;2 years;3;2019-07-09;1.27
B;Business;2Y;2 years;3;2019-07-10;1.282
B;Business;2Y;2 years;3;2019-07-11;1.294
B;Business;2Y;2 years;3;2019-07-12;1.309
B;Business;2Y;2 years;3;2019-07-15;1.308
B;Business;2Y;2 years;3;2019-07-16;1.305
B;Business;2Y;2 years;3;2019-07-17;1.299
B;Business;2Y;2 years;3;2019-07-18;1.301
B;Business;2Y;2 years;3;2019-07-19;1.298
B;Business;2Y;2 years;3;2019-07-22;1.288
B;Business;2Y;2 years;3;2019-07-23;1.274
B;Business;2Y;2 years;3;2019-07-24;1.272
B;Business;2Y;2 years;3;2019-07-25;1.28
B;Business;2Y;2 years;3;2019-07-26;1.273
B;Business;2Y;2 years;3;2019-07-29;1.267
B;Business;2Y;2 years;3;2019-07-30;1.257
B;Business;2Y;2 years;3;2019-07-31;1.254
B;Business;2Y;2 years;3;2019-08-01;1.257
B;Business;2Y;2 years;3;2019-08-02;1.212
B;Business;2Y;2 years;3;2019-08-05;1.177
B;Business;2Y;2 years;3;2019-08-06;1.18
B;Business;2Y;2 years;3;2019-08-07;1.148
B;Business;2Y;2 years;3;2019-08-08;1.175
B;Business;2Y;2 years;3;2019-08-09;1.177
B;Business;2Y;2 years;3;2019-08-12;1.176
B;Business;2Y;2 years;3;2019-08-13;1.174
B;Business;2Y;2 years;3;2019-08-14;1.155
B;Business;2Y;2 years;3;2019-08-15;1.127
B;Business;2Y;2 years;3;2019-08-16;1.105
B;Business;2Y;2 years;3;2019-08-19;1.134
B;Business;2Y;2 years;3;2019-08-20;1.127
B;Business;2Y;2 years;3;2019-08-21;1.155
B;Business;2Y;2 years;3;2019-08-22;1.173
B;Business;2Y;2 years;3;2019-08-23;1.167
B;Business;2Y;2 years;3;2019-08-26;1.167
B;Business;2Y;2 years;3;2019-08-27;1.161
B;Business;2Y;2 years;3;2019-08-28;1.137
B;Business;2Y;2 years;3;2019-08-29;1.144
B;Business;2Y;2 years;3;2019-08-30;1.155
B;Business;2Y;2 years;3;2019-09-02;1.155
B;Business;2Y;2 years;3;2019-09-03;1.139
B;Business;2Y;2 years;3;2019-09-04;1.137
B;Business;2Y;2 years;3;2019-09-05;1.154
B;Business;2Y;2 years;3;2019-09-06;1.15
B;Business;2Y;2 years;3;2019-09-09;1.181
B;Business;2Y;2 years;3;2019-09-10;1.164
B;Business;2Y;2 years;3;2019-09-11;1.171
B;Business;2Y;2 years;3;2019-09-12;1.183
B;Business;2Y;2 years;3;2019-09-13;1.248
B;Business;2Y;2 years;3;2019-09-16;1.252
B;Business;2Y;2 years;3;2019-09-17;1.249
B;Business;2Y;2 years;3;2019-09-18;1.239
B;Business;2Y;2 years;3;2019-09-19;1.281
B;Business;2Y;2 years;3;2019-09-20;1.279
B;Business;2Y;2 years;3;2019-09-23;1.262
B;Business;2Y;2 years;3;2019-09-24;1.261
B;Business;2Y;2 years;3;2019-09-25;1.263
B;Business;2Y;2 years;3;2019-09-26;1.263
B;Business;2Y;2 years;3;2019-09-27;1.261
B;Business;2Y;2 years;3;2019-09-30;1.259
B;Business;2Y;2 years;3;2019-10-01;1.268
B;Business;2Y;2 years;3;2019-10-02;1.255
B;Business;2Y;2 years;3;2019-10-03;1.236
B;Business;2Y;2 years;3;2019-10-04;1.213
B;Business;2Y;2 years;3;2019-10-07;1.192
B;Business;2Y;2 years;3;2019-10-08;1.168
B;Business;2Y;2 years;3;2019-10-09;1.149
B;Business;2Y;2 years;3;2019-10-10;1.17
B;Business;2Y;2 years;3;2019-10-11;1.178
B;Business;2Y;2 years;3;2019-10-14;1.18
B;Business;2Y;2 years;3;2019-10-15;1.182
B;Business;2Y;2 years;3;2019-10-16;1.186
B;Business;2Y;2 years;3;2019-10-17;1.159
B;Business;2Y;2 years;3;2019-10-18;1.153
B;Business;2Y;2 years;3;2019-10-21;1.159
B;Business;2Y;2 years;3;2019-10-22;1.173
B;Business;2Y;2 years;3;2019-10-23;1.184
B;Business;2Y;2 years;3;2019-10-24;1.198
B;Business;2Y;2 years;3;2019-10-25;1.207
B;Business;2Y;2 years;3;2019-10-28;1.222
B;Business;2Y;2 years;3;2019-10-29;1.226
B;Business;2Y;2 years;3;2019-10-30;1.239
B;Business;2Y;2 years;3;2019-10-31;1.236
B;Business;2Y;2 years;3;2019-11-01;1.233
B;Business;2Y;2 years;3;2019-11-04;1.231
B;Business;2Y;2 years;3;2019-11-05;1.249
B;Business;2Y;2 years;3;2019-11-06;1.255
B;Business;2Y;2 years;3;2019-11-07;1.27
B;Business;2Y;2 years;3;2019-11-08;1.291
B;Business;2Y;2 years;3;2019-11-11;1.289
B;Business;2Y;2 years;3;2019-11-12;1.295
B;Business;2Y;2 years;3;2019-11-13;1.279
B;Business;2Y;2 years;3;2019-11-14;1.273
B;Business;2Y;2 years;3;2019-11-15;1.266
B;Business;2Y;2 years;3;2019-11-18;1.263
B;Business;2Y;2 years;3;2019-11-19;1.265
B;Business;2Y;2 years;3;2019-11-20;1.256
B;Business;2Y;2 years;3;2019-11-21;1.267
B;Business;2Y;2 years;3;2019-11-22;1.268
B;Business;2Y;2 years;3;2019-11-25;1.272
B;Business;2Y;2 years;3;2019-11-26;1.273
B;Business;2Y;2 years;3;2019-11-27;1.277
B;Business;2Y;2 years;3;2019-11-28;1.269
B;Business;2Y;2 years;3;2019-11-29;1.266
B;Business;2Y;2 years;3;2019-12-02;1.287
B;Business;2Y;2 years;3;2019-12-03;1.287
B;Business;2Y;2 years;3;2019-12-04;1.273
B;Business;2Y;2 years;3;2019-12-05;1.296
B;Business;2Y;2 years;3;2019-12-06;1.31
B;Business;2Y;2 years;3;2019-12-09;1.323
B;Business;2Y;2 years;3;2019-12-10;1.335
B;Business;2Y;2 years;3;2019-12-11;1.338
B;Business;2Y;2 years;3;2019-12-12;1.336
B;Business;2Y;2 years;3;2019-12-13;1.333
B;Business;2Y;2 years;3;2019-12-16;1.325
B;Business;2Y;2 years;3;2019-12-17;1.321
B;Business;2Y;2 years;3;2019-12-18;1.338
B;Business;2Y;2 years;3;2019-12-19;1.35
B;Business;2Y;2 years;3;2019-12-20;1.357
B;Business;2Y;2 years;3;2019-12-23;1.345
B;Business;2Y;2 years;3;2019-12-27;1.353
B;Business;2Y;2 years;3;2019-12-30;1.372
B;Business;2Y;2 years;3;2020-01-02;1.366
B;Business;2Y;2 years;3;2020-01-03;1.344
B;Business;2Y;2 years;3;2020-01-06;1.344
B;Business;2Y;2 years;3;2020-01-07;1.334
B;Business;2Y;2 years;3;2020-01-08;1.345
B;Business;2Y;2 years;3;2020-01-09;1.358
B;Business;2Y;2 years;3;2020-01-10;1.378
B;Business;2Y;2 years;3;2020-01-13;1.381
B;Business;2Y;2 years;3;2020-01-14;1.379
B;Business;2Y;2 years;3;2020-01-15;1.393
B;Business;2Y;2 years;3;2020-01-16;1.388
B;Business;2Y;2 years;3;2020-01-17;1.383
B;Business;2Y;2 years;3;2020-01-20;1.38
B;Business;2Y;2 years;3;2020-01-21;1.391
B;Business;2Y;2 years;3;2020-01-22;1.368
B;Business;2Y;2 years;3;2020-01-23;1.335
B;Business;2Y;2 years;3;2020-01-24;1.318
B;Business;2Y;2 years;3;2020-01-27;1.302
B;Business;2Y;2 years;3;2020-01-28;1.319
B;Business;2Y;2 years;3;2020-01-29;1.321
B;Business;2Y;2 years;3;2020-01-30;1.313
B;Business;2Y;2 years;3;2020-01-31;1.284
B;Business;2Y;2 years;3;2020-02-03;1.274
B;Business;2Y;2 years;3;2020-02-04;1.281
B;Business;2Y;2 years;3;2020-02-05;1.284
B;Business;2Y;2 years;3;2020-02-06;1.308
B;Business;2Y;2 years;3;2020-02-07;1.295
B;Business;2Y;2 years;3;2020-02-10;1.309
B;Business;2Y;2 years;3;2020-02-11;1.305
B;Business;2Y;2 years;3;2020-02-12;1.316
B;Business;2Y;2 years;3;2020-02-13;1.312
B;Business;2Y;2 years;3;2020-02-14;1.329
B;Business;2Y;2 years;3;2020-02-17;1.338
B;Business;2Y;2 years;3;2020-02-18;1.342
B;Business;2Y;2 years;3;2020-02-19;1.358
B;Business;2Y;2 years;3;2020-02-20;1.358
B;Business;2Y;2 years;3;2020-02-21;1.361
B;Business;2Y;2 years;3;2020-02-24;1.332
B;Business;2Y;2 years;3;2020-02-25;1.333
B;Business;2Y;2 years;3;2020-02-26;1.313
B;Business;2Y;2 years;3;2020-02-27;1.209
B;Business;2Y;2 years;3;2020-02-28;1.079
B;Business;2Y;2 years;3;2020-03-02;1.023
B;Business;2Y;2 years;3;2020-03-03;1.07
B;Business;2Y;2 years;3;2020-03-04;0.899
B;Business;2Y;2 years;3;2020-03-05;0.845
B;Business;2Y;2 years;3;2020-03-06;0.807
B;Business;2Y;2 years;3;2020-03-09;0.616
B;Business;2Y;2 years;3;2020-03-10;0.736
B;Business;2Y;2 years;3;2020-03-11;0.737
B;Business;2Y;2 years;3;2020-03-12;0.689
B;Business;2Y;2 years;3;2020-03-13;0.707
