Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SRS_10Y_3M
2023-04-05,-0.5445320397540456
2023-04-04,-0.3558014170353232
2023-04-03,-0.36377997558317565
2023-03-31,-0.3481544483837422
2023-03-30,-0.2606541027609466
2023-03-29,-0.350952864328562
2023-03-28,-0.4096142427244316
2023-03-27,-0.39799308438021486
2023-03-24,-0.5893381325502833
2023-03-23,-0.48292459133084487
2023-03-22,-0.3805449419486324
2023-03-21,-0.465168517719281
2023-03-20,-0.44415143367213217
2023-03-17,-0.5139148218632088
2023-03-16,-0.4377908951616032
2023-03-15,-0.3490842728943866
2023-03-14,-0.12203395799752004
2023-03-13,-0.3399125095440194
2023-03-10,-0.23513255256965193
2023-03-09,-0.0321362568329131
2023-03-08,-0.033994562991569666
2023-03-07,0.025548189516811703
2023-03-06,0.12496537388131479
2023-03-03,0.032647184149748654
2023-03-02,0.07249318956044748
2023-03-01,0.06064769169337181
2023-02-28,0.09917755454391886
2023-02-27,-0.060473796290109405
2023-02-24,-0.0901396898566893
2023-02-23,-0.09454751954586049
2023-02-22,-0.039019264204121384
2023-02-21,-0.03613914854363598
2023-02-20,-0.10394223247960754
2023-02-17,-0.03552604937208148
2023-02-16,0.023017272600371008
2023-02-15,-0.04011200336417309
2023-02-14,-0.041334175757196334
2023-02-13,-0.05559777803517241
2023-02-10,-0.008705571454018735
2023-02-09,-0.0669743228076678
2023-02-08,0.03059246546659722
2023-02-07,0.010728960171847213
2023-02-06,0.02611503551828598
2023-02-03,-0.09029038000733447
2023-02-02,-0.09371928017016451
2023-02-01,0.04030464523407762
2023-01-31,0.10049718666672991
2023-01-30,0.06048530225797544
2023-01-27,0.06602723439962066
2023-01-26,-0.00467257749654415
2023-01-25,-0.020936507677816962
2023-01-24,0.08164509929210251
2023-01-23,0.05289277457719477
2023-01-20,-0.0032269043648298634
2023-01-19,-0.09155378841993045
2023-01-18,-0.16457880826584326
2023-01-17,0.036202417772644324
2023-01-16,0.10154861479512478
2023-01-13,-0.028103786221043592
2023-01-12,0.009798457459096355
2023-01-11,0.1117941425533373
2023-01-10,0.21215764752710964
2023-01-09,0.18252116983210387
2023-01-06,0.30502806419719075
2023-01-05,0.319584644771548
2023-01-04,0.3378557872212502
2023-01-03,0.5103129369643296
2023-01-02,0.7097399408261587
2022-12-30,0.8452177081233061
2022-12-29,0.7652138925206424
2022-12-28,0.732623146164604
2022-12-27,0.6965479374922163
2022-12-23,0.7140855327670779
2022-12-22,0.6726569927093851
2022-12-21,0.6426962393215057
2022-12-20,0.7242942987175656
2022-12-19,0.6563635398019085
2022-12-16,0.6489243083198064
2022-12-15,0.49632219389388954
2022-12-14,0.37971918614805955
2022-12-13,0.32487048839177035
2022-12-12,0.31475261066865046
2022-12-09,0.4638352845343987
2022-12-08,0.41792882163031164
2022-12-07,0.4258170579646343
2022-12-06,0.42867433575819947
2022-12-05,0.4895822984172795
2022-12-02,0.46117577767531803
2022-12-01,0.4274999380477851
2022-11-30,0.5323222211724787
2022-11-29,0.5870177833784291
2022-11-28,0.6743571214093178
2022-11-25,0.609574386963498
2022-11-24,0.5000884452037617
2022-11-23,0.6370998684730298
2022-11-22,0.7742190648495617
2022-11-21,0.7338445601370083
2022-11-18,0.7672780462996449
2022-11-17,0.8567482080156501
2022-11-16,0.7534672977901913
2022-11-15,0.8061094322483893
2022-11-14,0.814140768397376
2022-11-11,0.9163605892005198
2022-11-10,0.8999728585638163
2022-11-09,1.1791075370490485
2022-11-08,1.1791075370490471
2022-11-07,1.2645352807317567
2022-11-04,1.2180149529907756
2022-11-03,1.2104454734563275
2022-11-02,1.1673153585336717
2022-11-01,1.1952939468311583
2022-10-31,1.1593108058600845
2022-10-28,1.1625615338855082
2022-10-27,1.1853912361666623
