Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y2M
2023-04-05,2.309163817221962,2.267789627275168,2.245285203388809,2.3007799549585104,2.3179960434906954,2.2982991025824386,2.3136411424297414,2.519463289227246,2.233595910715951,2.2342817137282536,2.2337257774915127,2.2332631879637104,2.294219941116128,2.290254639469924,2.253159943134158,2.2853518027491715,2.235864471056804
2023-04-04,2.42072048704116,2.394731301807134,2.3691855208700128,2.4308174725843297,2.4286867301760036,2.410816829986338,2.424769961601581,2.652737599151813,2.35286046474941,2.3555193960128586,2.3546838373813634,2.35274454097324,2.423720215198748,2.403430976631614,2.378278707976993,2.398914471215974,2.3543301657461946
2023-04-03,2.392208635771653,2.3802732682269223,2.35273399109544,2.418164976974351,2.399595374048137,2.383045248949644,2.395962280155038,2.644592281280517,2.332489768784783,2.3369953584990326,2.3359168593799056,2.332592847548655,2.410763508729481,2.376233974960454,2.362662547672914,2.3720818446280854,2.3331154451542693
2023-03-31,2.4109544407949084,2.3918382909213083,2.3658805828958878,2.4272862821935157,2.418976397995115,2.4010872851386584,2.415022294657808,2.633288176035212,2.347136517773811,2.3510853003692564,2.3500897129999636,2.34717969564153,2.4203887027532636,2.3938014620685895,2.3752523880304053,2.389377029769671,2.3479899024968844
2023-03-30,2.4548580943705325,2.434795433377883,2.4076487418686647,2.4716927128607713,2.463323078166737,2.444460085834239,2.459149212078912,2.681009810118947,2.3879056694202423,2.392103651264881,2.3910528861201925,2.3879580671431997,2.4645282586537283,2.4367911319116833,2.4174637735618254,2.4321374728399667,2.388773743640863
2023-03-29,2.4019883457834497,2.342314471126676,2.323150433607738,2.3711016432425964,2.411462362010103,2.390260510919221,2.4067977403559624,2.5559867778054075,2.3164870426627924,2.3149263093244925,2.314672773106854,2.3158919230808457,2.365366256001433,2.381522864552762,2.3297379951080446,2.376173222314814,2.3197655175172542
2023-03-28,2.357760309983686,2.28475144139316,2.268202409156369,2.311524869621934,2.3674219390210256,2.3457663278848546,2.362667383110562,2.5015639334832587,2.2665058689010418,2.262713996942287,2.262768604506666,2.2656610017242245,2.306085193036422,2.336796312090147,2.2736730968410788,2.331285865005759,2.2707035776740065
2023-03-27,2.355555974681761,2.2741680524519676,2.2594915399744617,2.2996009323398847,2.3650331540933114,2.343701827201575,2.3603775598841263,2.4946968109846437,2.261442652280943,2.2560130194574626,2.256294797720551,2.260415853239396,2.294346055665196,2.3347724784930266,2.2641529821389343,2.329259080212287,2.266303665881659
2023-03-24,2.210756466195857,2.107604888895172,2.0989564146676023,2.1272511208068803,2.2201882786581617,2.198887368392993,2.2155606990550245,2.3231334974112863,2.1100937854005446,2.1008390565929944,2.1016770591936345,2.108662192004191,2.122963861761663,2.1898832964131856,2.1011763392186853,2.1842915487126455,2.1163918177274423
2023-03-23,2.3256951616039183,2.2729437907183905,2.253751136176769,2.302147169876735,2.3342958715322393,2.3149986010284453,2.3300661090241466,2.5005519868264185,2.2467971647837848,2.2455029341095507,2.2452315915178724,2.246251229799554,2.296292625430061,2.306997876959817,2.2603286339912505,2.3020873004129125,2.2498342446419803
2023-03-22,2.441689470669991,2.4378758377767245,2.413748955542697,2.4700450293226544,2.4473004337863347,2.434554397085188,2.444558975369289,2.65148590447741,2.3945801415093193,2.399317796443806,2.398275543249829,2.3947682494528753,2.4638302993463395,2.429156140564533,2.422550069631474,2.425834770599887,2.394747866184403
