Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y7M
2023-04-05,2.6619663584380704,2.467727966159043,2.256310706898229,2.3061156966069336,2.241293414964491,2.265699001611564,2.2533326392609685,2.2330361436724084,2.316558552284655,2.270559756697148,2.30764581768799,2.2548098498533022,2.4368625088020117,2.2369401242057747,2.2689313853727064,2.307812307322819,2.2349965178296554,2.2393809500967947,2.5381173600763036,2.243172317215418
2023-04-04,2.7781232216846736,2.602809290637643,2.3721638600292003,2.417952096714755,2.36445128378004,2.380777481016098,2.3694531911562793,2.3527419442247957,2.4273964468502545,2.3852594371181404,2.4193428905343297,2.3707959427264558,2.5722017852875694,2.359083289932678,2.38375702593801,2.43839057992882,2.356524620545775,2.357139084051712,2.6702683965264415,2.366694583821233
2023-04-03,2.7696656003300233,2.5942244299613204,2.3478695862319077,2.389644452470141,2.3474601320598882,2.3555647203863295,2.3454829617486923,2.3328125473418986,2.3983983265941284,2.359615850467075,2.3909324319888086,2.3466625295643757,2.563208208333347,2.3413095059403783,2.3582550322169387,2.426042525596008,2.3382470821765975,2.3351291576471565,2.6622102240512744,2.3499714753331036
2023-03-31,2.7445302175742343,2.588156278167542,2.363752536181094,2.4081848191788517,2.360903347903046,2.371874238190248,2.361233535743883,2.3473376342670123,2.4176716235535167,2.376155488068224,2.4095751013977607,2.362478695276918,2.56019930988897,2.3551134578978363,2.374716721114857,2.4346136683654818,2.352248436265069,2.3502247625591877,2.6490081347576915,2.363272837331413
2023-03-30,2.786016440938048,2.636175236234292,2.4052377882298788,2.451937991811055,2.4024281221813157,2.4137531524289106,2.4025992631863193,2.38813091133371,2.4619454737234476,2.4182461629166356,2.453403661703571,2.4039033274911406,2.6080376851036586,2.396345479126489,2.4167359342926087,2.479295443953957,2.3933297699559706,2.3910941810510744,2.696414122547893,2.404914277111169
2023-03-29,2.665969787152366,2.5137128206917847,2.3439668422921978,2.3987062996618036,2.319928125393579,2.3545018378687614,2.340586383193522,2.3153979916145975,2.4099240961813813,2.359901776320078,2.4003546440080425,2.3422660490745315,2.488007279499394,2.316627079572048,2.358096220534435,2.3772476510470386,2.3153308261345535,2.3242374921980984,2.570960125718216,2.32143001084839
2023-03-28,2.626282001605943,2.456033320150343,2.297612946091768,2.354408162902522,2.265703808459467,2.3087537520862136,2.293996981440848,2.2649091035490185,2.365854476063733,2.3144074430625396,2.356092092160911,2.2957966869491946,2.4289183625409096,2.2634420486129634,2.3125205683622294,2.317399603929002,2.2628021926313036,2.2759746040253517,2.5179794208713075,2.266846506977125
2023-03-27,2.6288733499808163,2.4465815199881313,2.2950114637770964,2.3522527194171805,2.2575220092980954,2.3064657656274874,2.2912584924054773,2.2594754849375764,2.363500102138929,2.312226635732307,2.3539130449779506,2.2931288643537573,2.418248107846345,2.2560240679781076,2.3103074373182912,2.305313355055922,2.2558679744772596,2.2721387405279816,2.5121870635883212,2.2584017554528044
2023-03-24,2.492321720119054,2.269483560367452,2.148742124741317,2.20745768842107,2.0984840664903786,2.1608295146585177,2.1447186526892654,2.1072974498942108,2.2186656134103764,2.166821945719658,2.2091165467530973,2.1467283921583595,2.239433000597547,2.0990337775617753,2.1648311079596185,2.132009591806485,2.1001135456117974,2.1234038257119625,2.3434725177009064,2.0986284675139197
2023-03-23,2.6304450668278516,2.453413366455411,2.27234801411084,2.322706929140415,2.2505366513298073,2.2821079022706687,2.269210001643584,2.2458019172545622,2.33290210443465,2.2870987660491187,2.324208240688539,2.2707695734213633,2.425310073860766,2.24723374935457,2.285430893424607,2.3084405525001563,2.2459211960691388,2.2539973783102116,2.517553554077404,2.2520350975190695
2023-03-22,2.7504180644728096,2.6120285820456814,2.406232997849946,2.4397100759009938,2.4090043672660353,2.412477400086475,2.4043045793670434,2.395059349020527,2.4464013737064016,2.415766954404295,2.440706149432178,2.405256815227215,2.5875842558682476,2.4033757351219776,2.414662378617871,2.476628137715419,2.400509975961121,2.3961511782972105,2.6652597394583264,2.411271110642929
2023-03-21,2.5772329614699774,2.4302007664591945,2.29197061378893,2.335084881834983,2.26908835216964,2.3006125216356494,2.2891592059161856,2.2669798268547154,2.3433135448420606,2.304977619416537,2.3363096103984455,2.2905586442045562,2.4075675368258778,2.266812673240697,2.30352275814543,2.3142017821481042,2.266029265266769,2.275198059494649,2.4823341298909205,2.2701744366718115
2023-03-20,2.4159673010784526,2.2450880943972513,2.15537868139093,2.2089170118397035,2.106892006797609,2.1665613753032806,2.1516381774912423,2.1162089335294696,2.21887363118915,2.1720757582681225,2.210397366245653,2.1535077452746627,2.221175682570201,2.1077668536075285,2.170245900346485,2.1337037250194704,2.1089771150206342,2.131644945672629,2.3029930133578467,2.1068877977096934
2023-03-17,2.483908748917764,2.3463317280181486,2.168910951080992,2.196352457589078,2.1736113526684253,2.1738368382573334,2.167415256785458,2.1612408590705368,2.202151927229305,2.176472603905569,2.1972075834457234,2.168152011562639,2.3246034544511294,2.16877683056296,2.1755847642103667,2.230083019152147,2.166273124235442,2.1613699478506887,2.3955675043259284,2.1755393978418707
2023-03-16,2.581175799029014,2.4486939934111422,2.2438794427180375,2.273089353340611,2.255876783752905,2.248783855432758,2.2424448391568186,2.239165786078989,2.279754338189895,2.2514898482490118,2.274060909385674,2.2431474203983703,2.4259829751983903,2.249716923353852,2.250573099271125,2.322467346262797,2.246423719019116,2.2373285673497776,2.4985307482157584,2.2582857923861916
