FREQ;Frequency;INSTRUMENT_TYPE;Instrument Type;TENOR;Tenor;UNIT_MEASURE;Unit of Measure;COLLECTION;DECIMALS;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-18;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-19;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-20;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-21;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-24;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-25;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-26;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-27;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-02-28;1.51;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-02;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-03;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-04;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-05;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-06;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-09;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-10;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-11;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-12;1.49;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-13;1.49;N;Normal
