Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y5M
2023-04-05,2.2451009022843027,2.2738339620782155,2.2598328357242243,2.2351678587410584,2.2771668046348705,2.240420314122832,2.267310650925324,2.2366387664223844,2.2609341677672683,2.243859377562568,2.2820643645331744,2.2490660652961965,2.4519316106351616,2.4225145419909007,2.2593748628410424,2.484252880651907,2.238401453947013
2023-04-04,2.3620708006519306,2.3882821168987998,2.385835135151177,2.353823801917833,2.405099883080108,2.3580132506486295,2.3822625208976467,2.3549199022784397,2.376395959825607,2.36097992360087,2.395881762905912,2.365600945629035,2.5872166928009657,2.5577825588874172,2.3749660229033034,2.618953160856734,2.3563291425098436
2023-04-03,2.339130739957271,2.362361235025409,2.370792170859552,2.33281538711786,2.3912368698344015,2.335811780659471,2.356904125158498,2.3335019271517767,2.3516326598301447,2.3382204672206046,2.3693006278306274,2.3421346068467273,2.5784371010753993,2.5485582630503045,2.3503568431168,2.610541002924992,2.334513613824879
2023-03-31,2.3545109654928646,2.3790604565854947,2.382916625367464,2.3476341130956895,2.402129633718374,2.3509631307477887,2.373289105425224,2.3484317366432355,2.3677232946230897,2.3535423797221666,2.3864197673272582,2.3576952806815004,2.573943269473899,2.5469449156317854,2.3663770143395317,2.6028105532945407,2.3495538173122084
2023-03-30,2.395566380836091,2.421296297148994,2.4254783070053616,2.38840705302071,2.4455273978317007,2.3918633680975114,2.4152377050991025,2.3892308985052604,2.4093995763249363,2.3945545702606403,2.4290284139035005,2.398895809075042,2.6219007821090834,2.5946173157795043,2.407988198225934,2.650820710538185,2.3903959814957267
2023-03-29,2.3310865636019917,2.3635226954822093,2.3354407753513717,2.318821935312315,2.350470652936998,2.325508216929007,2.3562957565927043,2.3207834096922335,2.3491750052828904,2.329624641839134,2.3725750242911903,2.3356972742131155,2.500600336098206,2.4759427991037755,2.347423318275065,2.527330066605433,2.323023729336286
2023-03-28,2.28367105897046,2.3181818513071493,2.2786231511844126,2.2695418680675754,2.292185240730708,2.277427634167348,2.310635564754061,2.2719320753936176,2.3031417138893158,2.2820521050844986,2.3275701072737776,2.2887185842659203,2.4421483212049586,2.4163407765082545,2.301287296584341,2.4705710272825803,2.274571738894173
2023-03-27,2.280411039175133,2.316055954795914,2.268564744021208,2.264985660899704,2.2811039170410554,2.2737180338344256,2.3083867395625237,2.2676822447577636,2.3007144377126614,2.2786877659626636,2.325528814512448,2.285740957327763,2.43203972385954,2.405198554866069,2.29880597540408,2.461875997265643,2.270603825034385
2023-03-24,2.132839998726829,2.170779151353062,2.1038376157434717,2.1147405417160297,2.1126377504879974,2.1252413383960036,2.1628333100512753,2.1180874310737967,2.1547926241050828,2.130908344534116,2.180492492661119,2.138729784456163,2.2539182352075575,2.225977473871563,2.152775626388967,2.286177834365903,2.121596873013834
2023-03-23,2.260376425270412,2.290440809189048,2.266038467864593,2.2489575709211707,2.2811714681330884,2.2551811519832,2.283766819674292,2.2507810016931344,2.277176737980337,2.259015305789199,2.2987794860177844,2.2646664077450165,2.4390279342911785,2.412254890771764,2.2755534799545774,2.468466833666463,2.252866788108959
