Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y11M
2023-04-05,2.618873812470508,2.2721943863352534,2.242663162640626,2.2578330600280014,2.2886252427130254,2.288111297369077,2.640274913685896,2.262509121203282,2.2396361667911555,2.237485947545869,2.3153383975516295,2.319419002692652
2023-04-04,2.7425907607516526,2.3867682711558533,2.3599375867580576,2.3735546227026147,2.401930997226386,2.4170804153941496,2.760560983920828,2.3778424344989935,2.3624429678687195,2.3555878612554313,2.4464578156434436,2.4299613042523207
2023-04-03,2.734475386539912,2.360985065311716,2.3373613992171567,2.3491017726510046,2.3748537717668277,2.4038202547271403,2.752305303162311,2.352927187683808,2.3451873431338144,2.333969633257266,2.434413834601505,2.4007780127435456
2023-03-31,2.7132562566911886,2.3776038836934834,2.352625791507025,2.3650527193221516,2.392329417952431,2.4139064999164432,2.7290914239492743,2.369089532522989,2.358760816189609,2.3489546281263234,2.4423849542540466,2.4202674625116645
2023-03-30,2.7576996228621433,2.419766792004534,2.3935975961664235,2.4066001917600284,2.435242538678042,2.4577885530285433,2.772212217688465,2.4108321983137198,2.400178676292958,2.389773303634672,2.4873494017236055,2.4646865225425882
2023-03-29,2.633888818079691,2.3617110403303307,2.328205366560352,2.345686614206784,2.3797471105607837,2.360026149733399,2.6499716293932294,2.3509398188036115,2.3186339069535067,2.321870958951621,2.3838195445665926,2.4129836453792057
2023-03-28,2.588808759320911,2.3162949346310437,2.28046976742578,2.299443777178619,2.33496890582233,2.3010612336178604,2.607459472219096,2.3050053272758126,2.264762762943909,2.2732228812914843,2.323729077350969,2.3689716981137696
2023-03-27,2.588316942549102,2.3141431748527532,2.2769958074864243,2.2969044242754935,2.332946501249486,2.289526091906691,2.608490215363496,2.3026282180634756,2.2568401008723544,2.269117015124012,2.3115065950284057,2.366547134406835
2023-03-24,2.4377083139720446,2.1688049134554164,2.1289963244507635,2.1507583442676035,2.1880342942487605,2.119117771693608,2.4644341715764453,2.156808063565378,2.098510996865495,2.119823628994233,2.137271171549803,2.221690925485685
2023-03-23,2.591163135839888,2.2887691469462714,2.257693562986943,2.273943293255559,2.305368855791934,2.2908576471332696,2.6106711163457623,2.278811321148476,2.2492442274845614,2.25179329158587,2.315192399831168,2.3356731519479927
2023-03-22,2.722086776964477,2.416877669205383,2.397848118287996,2.40723094163797,2.4280543794063423,2.4579725047701952,2.736343802870016,2.41033497039924,2.406939072239361,2.395313322652955,2.4835907355183244,2.4481843540471635
2023-03-21,2.543545500500146,2.306430799994941,2.278658892772563,2.2933933484752256,2.3206615961668144,2.300272843683991,2.5601585104487046,2.2977097558979365,2.268171952732901,2.2730969955684057,2.319564744268148,2.345511364563741
2023-03-20,2.3749933981571107,2.1738962381342564,2.136923843939585,2.1572496159425882,2.191435383051913,2.12306722872745,2.3951062113966026,2.1628498179172846,2.107046384548356,2.1282493004773757,2.138048563764425,2.221541492783385
2023-03-17,2.452599601552636,2.177368115855165,2.1625605865485147,2.1696903087396144,2.186522875965812,2.2145581023219147,2.468033796440995,2.172134379536035,2.171846562536665,2.1608259173566444,2.235889191761598,2.2037215353629303
2023-03-16,2.5530252179469173,2.252419541306237,2.238155113428257,2.244638909575066,2.2621723813363874,2.304675663323635,2.5670759764943236,2.247063280400218,2.253650865672677,2.2370802390954316,2.3290551977058116,2.2815910591693354
2023-03-15,2.487357925020042,2.2340622551174896,2.2186672933002116,2.226182690592239,2.243358378178403,2.267881568073457,2.4998019598271584,2.228703750112044,2.226449020608766,2.2166953753022707,2.2886870051815777,2.260710192877278
2023-03-14,2.9280719490029075,2.50642541358119,2.503958170656966,2.50346083997447,2.5113356035789227,2.625476605437462,2.937886990104068,2.5042138007021317,2.5449255105847,2.5066985405723097,2.6613624268561464,2.5217456508898968
2023-03-13,2.6821924272982973,2.2839141231396245,2.2754234325336373,2.278633518797546,2.2910314062099113,2.365565790166532,2.698267777245367,2.2802100628765727,2.3009436036071693,2.275968421230878,2.396585244494124,2.3056342938748955
2023-03-10,3.0619857676228217,2.535867947266485,2.556033824428282,2.543238738489343,2.5297369015442843,2.6925383910573064,3.0823630762688925,2.5405352489595394,2.6141621596685565,2.5638615115607757,2.727062258844624,2.521035723817612
2023-03-09,3.2623575731388668,2.7294336235091183,2.751644191408541,2.7373763449975734,2.7229901740539297,2.9125186670804695,3.2747474806818095,2.734436907780961,2.819998642574495,2.7606000967816295,2.951977413318585,2.713862494098956
2023-03-08,3.2848277240067763,2.717452457832465,2.746786323459445,2.7283384025180064,2.708129724168634,2.9300742387278635,3.2957322698053417,2.7243758599995136,2.827586375753979,2.757906861413987,2.9725407885076427,2.6941732112613423
2023-03-07,3.267989956636427,2.7428212195910464,2.7560798478281523,2.746839889188219,2.7404622367108247,2.9027377714542055,3.2816277988166878,2.745231620815308,2.8138122485483192,2.7627114423011063,2.942171714598862,2.7384974762853442
2023-03-06,3.280121445251906,2.8122574691485327,2.8300403154124365,2.818176276633556,2.808005589104656,2.9843916962776924,3.2863454257538267,2.8159117459704306,2.8943681528693133,2.8379833509204344,3.022148504806049,2.8027927405724777
2023-03-03,3.219492941062609,2.762409051496852,2.7703963533067535,2.7644283011351467,2.7617598797134746,2.890382144891136,3.2327034048975647,2.763543800918777,2.815426842844828,2.775137271087792,2.924479831297458,2.762118355372261
2023-03-02,3.1834353969020355,2.7849079255522313,2.7861522460640864,2.7842510032868515,2.7866752369106735,2.880814404427547,3.1962310771144065,2.7843171839073984,2.8179071569392566,2.7886942355364095,2.9107070879709886,2.7904810901873027
2023-03-01,3.184718178202104,2.746401049799094,2.758502480286615,2.7500391006403486,2.744370343141738,2.8891721816413325,3.1939208573129982,2.7485738382909304,2.810761028705983,2.7645700490466636,2.9232400664141287,2.7431449606149716
2023-02-28,3.152628525364947,2.759356723344881,2.7668779926867746,2.7611639507076338,2.7589930882654046,2.8807065655552653,3.1608404654424334,2.760347067481514,2.8103451132041397,2.771473868924316,2.9118464012220553,2.7601514938137184
2023-02-27,3.0515827790902232,2.62219604123978,2.631511965306125,2.6248822164265215,2.620885416910226,2.742150625154977,3.065966717877986,2.6237765753958886,2.6745135783473657,2.636380721535956,2.772740914747322,2.620618863515153
2023-02-24,3.028713147561842,2.600156381414425,2.6152363963000926,2.605433991133102,2.5960363589634756,2.733150736190839,3.0420092803546708,2.6034606064520203,2.6642460086455038,2.621513013804784,2.763360869253341,2.590514596385453
2023-02-23,2.9191572214230304,2.5423863723038016,2.54254911091311,2.541492099028458,2.5442290996478514,2.6170904167696554,2.937448725947779,2.5416674101612506,2.566655072643357,2.5443514770058036,2.6420485443489343,2.54825283154135
2023-02-22,2.91007986686382,2.5717083404535908,2.5718365263210403,2.5708179868813366,2.57354550187012,2.6430382665719625,2.9246657490773993,2.5709935378236244,2.5950817785858002,2.573584021627142,2.666451875450967,2.5776230952394767
2023-02-21,2.925669241362523,2.5957598380119946,2.601873392524589,2.597432821273285,2.595025563327131,2.6841963941155798,2.937084864460666,2.5967286190322407,2.633055474269078,2.605261344675136,2.707655913285854,2.5948543776365796
2023-02-20,2.8717353340619884,2.48364171264614,2.482581954245968,2.4822983377777272,2.4857875581693873,2.5541689906469878,2.891899468708525,2.482642110863034,2.5044481347490337,2.483958888547727,2.579355787309262,2.489848947760879
2023-02-17,2.8578490605934244,2.5038492264927807,2.4995086252794376,2.5011049012017175,2.5074158389616668,2.562669797235393,2.8755426928222434,2.501928972145119,2.5165482769105054,2.4999667484523735,2.586519225249574,2.513925159332071
2023-02-16,2.870873323961666,2.5687438370923203,2.5627388204456896,2.5654328771843193,2.5726732426358385,2.6145754628310067,2.885390142408515,2.566474730021886,2.5748055908927396,2.562508857823273,2.635593122327718,2.5792861227591444
2023-02-15,2.8504678018490868,2.4962493657246645,2.4934141260408365,2.4942283727541867,2.4989426767460934,2.5577188986956907,2.868007242577645,2.494818766587112,2.5115758349816617,2.4941820757470277,2.581431545844239,2.503540624234425
2023-02-14,2.860758358223859,2.4581998132203813,2.4578005358258626,2.457006128393184,2.4603495580863455,2.538951631602148,2.8788381762816284,2.4572790957386563,2.4834669946692536,2.459588176343096,2.566465048601898,2.464687441770436
2023-02-13,2.7889096261421322,2.400665401512889,2.397510467249164,2.3983347070206946,2.403930191162975,2.4692329577721965,2.8081042837605628,2.3990028718558234,2.4181948951956747,2.398454305573212,2.495255374938837,2.410157183291267
2023-02-10,2.7357121810495473,2.384095085686925,2.3737503690688753,2.3786859253836283,2.390501079784478,2.4278944179233806,2.754695889655397,2.380407776957312,2.383975795432007,2.3726903020988708,2.4517691049796895,2.402209066016126
2023-02-09,2.6586100119117244,2.3142743138588537,2.3073198193825974,2.310287709191049,2.319394547462437,2.3644861779818527,2.6774774547561506,2.3115113100418885,2.321239881164684,2.3071807946116154,2.3872480474475863,2.329644988496966
2023-02-08,2.678368120085221,2.375275007274707,2.367409395488888,2.3709576437152613,2.380639249317551,2.4197956265434257,2.6928092305143965,2.37230460211315,2.3791384323311857,2.3669315877446024,2.4412227019087416,2.391093553716163
2023-02-07,2.5741428978273384,2.3280214272748987,2.3186062457487413,2.323137452559575,2.3338930623481207,2.356882463616686,2.5869972598451065,2.324689869781315,2.3250019364422942,2.3174981030191626,2.3741854438037207,2.3452031063704046
2023-02-06,2.5663017772215726,2.3047209313807255,2.2872946844387934,2.2965081835277514,2.3137102022822402,2.3103317995927806,2.5836669906311855,2.299223768813141,2.2824596200441807,2.2838778366205132,2.3278854972149343,2.3294312805882953
2023-02-03,2.519516328312065,2.2143685714378893,2.2058754479409464,2.209973602755026,2.21951868863931,2.248186238276555,2.5387073616075746,2.211378684434435,2.213394803307263,2.2049306873198167,2.2674791133747716,2.2287954518685864
2023-02-02,2.515907911659748,2.19783354311055,2.1922189396809113,2.194711480100808,2.2016000919280767,2.2411183856087704,2.5348074973005037,2.195688839227846,2.2036024384045163,2.1920289199744145,2.261282520201359,2.2081802915332673
2023-02-01,2.6126802369433757,2.3127940407309744,2.305714713673317,2.309064642233603,2.317061929608877,2.3549068349177227,2.627267738187867,2.3102580571926388,2.31597845275721,2.3051389908846134,2.375833163890906,2.3239818355958013
2023-01-31,2.6031801875155454,2.3065069457334393,2.2910237469582118,2.299018887692087,2.3148067508974584,2.329451400797053,2.6187249697279142,2.3014747988132407,2.292418198026715,2.28837456489813,2.350876672512025,2.3291290726756193
2023-01-30,2.6286597522300856,2.315709368062338,2.3113564060475746,2.3130833651658946,2.3189275667029534,2.370656125264018,2.6418092987808173,2.3138896417575405,2.3268967242498944,2.311648335417104,2.3931677618523017,2.3241480956465685
2023-01-27,2.565659697636079,2.2791240393488135,2.2651967874944394,2.272375401916713,2.286605138773701,2.3017366455303874,2.5813959193985823,2.2745878071476073,2.2669706209342975,2.262844276084771,2.3218778722856244,2.2994712279476315
2023-01-26,2.5264041382799456,2.216482864903256,2.2079715321932873,2.2119694901857683,2.221875421242798,2.2572805951309105,2.542710993107516,2.213399294526745,2.217945776685719,2.2072147633097305,2.278459960057556,2.2317515500148573
2023-01-25,2.4940667257781755,2.149744575071093,2.138263664347531,2.1437479245845896,2.1569622908765704,2.190556878155972,2.513074095685795,2.1456508967961128,2.147608535173355,2.137004810695155,2.213941327934999,2.1707893842613006
2023-01-24,2.5593072936597645,2.2268288254074844,2.2177264851859313,2.2217614492733606,2.233191596241825,2.280620295985575,2.573018056711732,2.2233338305824715,2.232476690417556,2.217287392007232,2.305429323195904,2.245638769659767
2023-01-23,2.5543143151098224,2.227473255322855,2.2141732030756764,2.220790713518189,2.235183096583822,2.2618038256114934,2.5713914237909345,2.2229475661771603,2.2203740417246953,2.2123071045544167,2.284858743585717,2.2491678066193637
2023-01-20,2.555017637633495,2.1846679819982646,2.1754199378877606,2.1796525285884383,2.1907772328081228,2.236365204754537,2.5740438783136113,2.1812276755499904,2.1886990556118637,2.174787174879568,2.2617654779991883,2.202216687906087
2023-01-19,2.488059459266612,2.0814008246234055,2.0803434350663705,2.079780931740259,2.084292658326617,2.1612664436978584,2.5075338095707793,2.0801710313960715,2.1061223517290806,2.082114185325146,2.188534875781283,2.0909490388218597
2023-01-18,2.37860769023093,2.0358821820733985,2.043464281918696,2.038447090095344,2.0338823167331235,2.117730196136955,2.3953954537732027,2.0374790271262953,2.0721068440903045,2.0468456882756056,2.1392171634249286,2.030765775792096
2023-01-17,2.5177694646170594,2.173900723425968,2.1640354377681965,2.1684858334891524,2.1806893497829773,2.224740307305991,2.5337907843725187,2.170171638064232,2.1775699472303813,2.1633947889819454,2.2494320880427434,2.1941877753086096
2023-01-16,2.5277377353014487,2.182482295186955,2.170348957776796,2.17589142491643,2.190760163930846,2.23485940039489,2.5418940313428338,2.177946969725195,2.184205934574479,2.169396579924306,2.261099343508088,2.2075286647499106
2023-01-13,2.5125854893301263,2.1652885375006607,2.163842817939196,2.1636933371527656,2.1678844426124995,2.2339978322123333,2.528024179697599,2.1641056257552034,2.1856174827534116,2.1652073571881636,2.2579983715291063,2.173403014767459
2023-01-12,2.5247843562165406,2.1965683202685367,2.1927151917425687,2.1939237709239725,2.2002621810976524,2.257561606479196,2.5390153717902635,2.1946922000349103,2.211282197503036,2.193437035269738,2.2808344822232347,2.2077627950020395
2023-01-11,2.5827530032468786,2.2542368741716348,2.245878584413584,2.2498148895671624,2.259352644255738,2.3033735142854908,2.596773512577517,2.2512258792649558,2.2580239110957185,2.245215428351581,2.3274546047099087,2.2679292339397032
2023-01-10,2.5918155517253325,2.3461146472414187,2.3310241465579336,2.339085609656345,2.35344909182896,2.3614525489566076,2.602711491713786,2.341435961010476,2.329248452325228,2.3280853640066383,2.380600813108007,2.3647336684593525
2023-01-09,2.5558090423908486,2.3352465264022464,2.315699433992104,2.3266992293772017,2.3435165981288133,2.3221781748417873,2.570336043764031,2.329635335726227,2.3017354891470467,2.3109514507456494,2.3376168409745333,2.3548681843721813
2023-01-06,2.6077431758758394,2.3462284147318453,2.3237996465303676,2.336122624780166,2.3564539377422156,2.3442408479851577,2.620563826662768,2.3395454484985536,2.3129153707966674,2.3188130730603946,2.3648743288042615,2.3718016655320087
2023-01-05,2.608155795329033,2.3974052957174994,2.3749052936234345,2.387264069162132,2.407735550900003,2.389490524629073,2.617547727033649,2.3906945350162014,2.3626926321797175,2.3698626428809013,2.4073938740530814,2.423556387013755
2023-01-04,2.5652761522359784,2.333451517419066,2.307486149310828,2.32182987013138,2.3452331583530963,2.318336260109856,2.5769852069351504,2.325770813438278,2.291281216911945,2.3015101897879227,2.337399874003264,2.3633262125145977
2023-01-03,2.591927725417881,2.4182104916167946,2.393305294196862,2.407006646014217,2.42953944874093,2.408702361237402,2.5951544277539385,2.4108029160978224,2.3799622462915395,2.387720461676934,2.427118842360775,2.4465412186273636
2023-01-02,2.5977629348471973,2.4925630468613917,2.461843782744925,2.47863791903124,2.5069294207061725,2.471693768204678,2.593988042582115,2.4833318042647674,2.444306491157376,2.4550265875221964,2.488810859203611,2.52959596719684
2022-12-30,2.5639789057142996,2.519623987285984,2.4785668694239242,2.5009586744633387,2.539285271826257,2.472848543802833,2.556694376510362,2.507223554926153,2.4506542165926692,2.4693376035474497,2.4880334385218617,2.5722398716131543
2022-12-29,2.5128409457883345,2.494301259662018,2.4546375432699956,2.4766510292532278,2.51236852536036,2.433911277689194,2.5072013004338514,2.482633945575941,2.4213467997696556,2.4451327508329066,2.4454076994611853,2.541387116461667
2022-12-28,2.4844281081997828,2.4933889805727354,2.4586918267066498,2.4778721511517143,2.5093491892615933,2.441916665331359,2.476672854237738,2.4831212058661976,2.4307457989375907,2.4505032989109417,2.4512923507843496,2.535038448108585
2022-12-27,2.4757824791301104,2.4784518059265856,2.450640392986011,2.4659904004963424,2.4911514045349863,2.443998866013599,2.4673217081510996,2.4702102512175146,2.430498515440246,2.4441955557719335,2.453250672922967,2.510838336780208
2022-12-23,2.471936017868904,2.44913139345789,2.428191425974729,2.4398998233441676,2.4580119344796816,2.432798492013398,2.463113611877393,2.443067039107996,2.415025315916549,2.4232892871586533,2.443475262073801,2.4695455763596743
2022-12-22,2.4492744040835057,2.4240295804889818,2.397888045284898,2.4127963349066617,2.4346164458585418,2.3853986270917202,2.4438855204615733,2.416686205829798,2.374256809027771,2.391208860462135,2.395085020950756,2.448352157411319
2022-12-21,2.385083793454041,2.341580500914805,2.3162478405616995,2.330538008622722,2.3522402955984627,2.310304314772313,2.3803490262446916,2.33433499055902,2.2957980057295932,2.3100079564354354,2.321223621379978,2.3668506121059867
2022-12-20,2.3825752146525048,2.3393908255129747,2.311056012541714,2.326850066022338,2.3518381030084003,2.308163335167493,2.3762441655575977,2.3311279663410778,2.2903407446211395,2.304331512204111,2.32050627851427,2.3700259110708135
2022-12-19,2.3371227275638393,2.2576732595327944,2.231253727934907,2.2463852252828374,2.2681626596250917,2.223103056467094,2.3352402961109027,2.2503080745562936,2.207754723799532,2.224447388409524,2.235785905594419,2.281259012520161
2022-12-16,2.369680352407646,2.2339376798142636,2.2198127575256077,2.2279315526663104,2.2389466365420363,2.243683194432175,2.3665029923178946,2.23005308813388,2.214809451521707,2.2164449773778307,2.2604313639004534,2.242100900116723
2022-12-15,2.2348970169448155,2.050934807197156,2.0120560220776698,2.0339272886725634,2.06789087034994,1.9933869599152723,2.246107406967947,2.039741604553409,1.9767385408358953,2.002336931801601,2.0102244416183734,2.0939951626643194
2022-12-14,2.0360223392086096,1.9932762897045473,1.9653439602811535,1.9819370419030877,2.0032062642251454,1.9182601718610701,2.043317954257532,1.9859605621568652,1.926384598447393,1.9570609917175088,1.9222977237026018,2.014642039049565
2022-12-13,2.036432523546143,1.9249452036109511,1.905412795252555,1.9171819729734616,1.9312495993995973,1.8820558881103953,2.0457079556466695,1.9199788315882365,1.8794659734664294,1.8995142188135503,1.8900114351511665,1.9364453377081172
