Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y7M
2023-04-05,2.250265189303428,2.727239401374448,2.3151068168407893,2.70563492012132,2.250458311552862,2.2563440199600358,2.5574342075542607,2.282433556108854,2.2415156270619847,2.2918781287349574,2.683809322530049,2.2967061112249123,2.5978760082738384,2.408877651952014,2.286990697663405,2.3045738819439734,2.3720887952929366,2.2329254308467226,2.295104533537156
2023-04-04,2.3749635880763176,2.825685687221144,2.4260907518259396,2.811000631465714,2.366853064197624,2.381897444802692,2.688126622087827,2.4108797099512875,2.358947422894482,2.4049243400111777,2.795032876774853,2.4093572385921447,2.7244183505127983,2.5439698911481603,2.4004252113446025,2.416548555094936,2.506196179295415,2.3531047929210276,2.407888182342367
2023-04-03,2.359065607890018,2.816186700654529,2.39718718425344,2.801928365845579,2.343216331029318,2.3665663332206517,2.680119542580548,2.397317312874088,2.3365572151140546,2.377609212569871,2.7863053243231426,2.3816974077867297,2.716387575340078,2.5345004282723544,2.373469436184104,2.3883451654250005,2.495924223585057,2.3336300519663458,2.380341662702922
2023-03-31,2.371858056827526,2.786283605195557,2.416353471772558,2.7733805706541736,2.358839193045152,2.3789341621218925,2.6649593072045894,2.4078250459422614,2.351764788130711,2.3952695892307925,2.7593715822607146,2.399642552861849,2.697196068400419,2.534194374671996,2.390854308890802,2.4067840819795823,2.4990336561754356,2.3480243965159207,2.398190887755675
2023-03-30,2.4139109380246584,2.8204613110119077,2.4605540609809973,2.8104559196462677,2.4000927405418264,2.4213150949322326,2.7119068984313746,2.4514596627824723,2.392699215905138,2.4383358885438455,2.7988615549990508,2.442938808130652,2.7426935140760005,2.5816633271147498,2.433691005216493,2.4504615992942336,2.5457424826518142,2.3888656696423256,2.4414105193835516
2023-03-29,2.3272924929592245,2.7118104124684583,2.4083691242139795,2.6970822897270756,2.33729956874789,2.3324497617632014,2.5863033718848825,2.3550660137829706,2.3268320620359395,2.3832901344178117,2.681732574049222,2.388534020521436,2.617848478622906,2.4644113523986824,2.3779636304949747,2.3970437326271408,2.433003996892528,2.3147386846130127,2.386796378490356
2023-03-28,2.2716027631183566,2.68217535601906,2.3642695413218244,2.6638327389864433,2.2904556794579776,2.276008423770374,2.534965238089102,2.296434066404458,2.27892717833232,2.3386134004864445,2.645131494036147,2.343996553983222,2.570448560696279,2.4044087782252057,2.3331318538207158,2.352708884630258,2.3723719067080893,2.2637088764238626,2.342214108994206
2023-03-27,2.262353284883933,2.6892782571812583,2.361948168906914,2.669511722319154,2.2875624081590393,2.266218240803014,2.5303538985524208,2.2851191082987516,2.275338172226149,2.3365858165512075,2.649287257062977,2.3419444444604554,2.5684976601480556,2.392878446217973,2.3311084888563496,2.350575310136458,2.3601198823520124,2.257878655682316,2.3401723235609344
2023-03-24,2.1002159676107657,2.58157316977135,2.2171230445612795,2.5510822911770967,2.1407176158321444,2.1023779134114133,2.365091514134574,2.1156845881287567,2.1271064396148,2.1917167748324284,2.521258148745335,2.1971199640059864,2.4122180848407195,2.2135006988068335,2.1861702187063257,2.2057801040338685,2.1814391315580095,2.104790365050368,2.1953354935976024
2023-03-23,2.2578849656711073,2.6899754317700553,2.3314920961996997,2.6702641629892634,2.266156115590847,2.263041674495335,2.535160316841069,2.285823385687132,2.2564143916446593,2.3086181195289734,2.6503599457124896,2.3134197416374276,2.5720232492528172,2.399853843330297,2.3037317523087992,2.3211916061417397,2.3664489322870716,2.2452181047302604,2.3118296616182876
